rank	count
0	1629
1	865
2	823
3	672
4	663
5	651
6	651
7	632
8	632
9	598
10	595
11	571
12	570
13	565
14	561
15	555
16	553
17	548
18	548
19	507
20	483
21	461
22	455
23	436
24	433
25	431
26	416
27	406
28	405
29	401
30	396
31	391
32	390
33	389
34	365
35	359
36	358
37	347
38	345
39	345
40	340
41	336
42	328
43	325
44	315
45	307
46	307
47	302
48	301
49	300
50	291
51	291
52	284
53	280
54	270
55	261
56	260
57	258
58	258
59	254
60	250
61	249
62	245
63	244
64	242
65	241
66	236
67	232
68	227
69	227
70	222
71	221
72	215
73	215
74	209
75	209
76	208
77	206
78	205
79	204
80	204
81	202
82	201
83	199
84	199
85	198
86	196
87	195
88	193
89	191
90	190
91	189
92	189
93	186
94	186
95	186
96	185
97	184
98	183
99	182
100	182
101	182
102	182
103	182
104	180
105	179
106	179
107	178
108	177
109	175
110	175
111	173
112	173
113	171
114	170
115	170
116	169
117	168
118	168
119	167
120	166
121	162
122	160
123	159
124	159
125	157
126	156
127	155
128	154
129	154
130	153
131	153
132	152
133	151
134	151
135	150
136	149
137	149
138	149
139	147
140	146
141	145
142	144
143	143
144	141
145	141
146	140
147	138
148	138
149	137
150	137
151	136
152	136
153	134
154	133
155	132
156	131
157	131
158	131
159	131
160	130
161	130
162	130
163	128
164	128
165	128
166	128
167	128
168	127
169	124
170	123
171	122
172	122
173	121
174	118
175	118
176	118
177	117
178	117
179	117
180	116
181	116
182	116
183	116
184	115
185	115
186	115
187	115
188	113
189	113
190	112
191	112
192	112
193	112
194	112
195	112
196	111
197	110
198	110
199	110
200	109
201	109
202	109
203	109
204	109
205	108
206	107
207	107
208	107
209	106
210	106
211	106
212	105
213	104
214	104
215	104
216	103
217	103
218	103
219	103
220	103
221	102
222	102
223	102
224	102
225	102
226	101
227	101
228	101
229	101
230	100
231	99
232	99
233	99
234	99
235	98
236	98
237	97
238	97
239	97
240	97
241	96
242	96
243	96
244	96
245	96
246	95
247	95
248	94
249	94
250	94
251	93
252	93
253	93
254	93
255	92
256	91
257	91
258	91
259	91
260	91
